Year,FARMGATE (PhP/kg),WHOLESALE (PhP/kg),RETAIL (PhP/kg)
1998,8.08,15.78,17.10
1999,7.69,15.75,17.26
2000,7.50,15.91,17.59
2001,7.90,15.99,17.54
2002,8.33,16.53,18.00
2003,8.56,16.51,17.95
2004,9.17,17.30,18.71
2005,10.07,19.14,20.73
2006,,19.49,21.28
2007,11.22,20.66,22.39
2008,14.13,27.12,29.38
2009,14.67,28.26,30.69
2010,14.87,28.46,30.84
2011,15.16,29.15,31.31
2012,16.22,30.04,32.08
2013,16.93,31.56,33.70
2014,20.07,36.78,38.93
2015,17.33,34.46,37.06
2016,17.43,33.69,36.67
2017,14.74,35.13,37.62
2018,20.43,45.26,40.86
2019,16.47,34.43,37.89
2020,16.72,33.94,36.93
2021,16.75,33.62,37.60
2022,17.44,35.02,39.14
2023,19.88,39.38,42.80
