"Palay and Corn: Volume of Production in Metric Tons by Ecosystem/Croptype, by Quarter, by Semester, by Region and by Province, 1987-2025"

"Ecosystem/Croptype","Geolocation","1987 Annual","1988 Annual","1989 Annual","1990 Annual","1991 Annual","1992 Annual","1993 Annual","1994 Annual","1995 Annual","1996 Annual","1997 Annual","1998 Annual","1999 Annual","2000 Annual","2001 Annual","2002 Annual","2003 Annual","2004 Annual","2005 Annual","2006 Annual","2007 Annual","2008 Annual","2009 Annual","2010 Annual","2011 Annual","2012 Annual","2013 Annual","2014 Annual","2015 Annual","2016 Annual","2017 Annual","2018 Annual","2019 Annual","2020 Annual","2021 Annual","2022 Annual","2023 Annual","2024 Annual","2025 Annual"
"Irrigated Palay","..CORDILLERA ADMINISTRATIVE REGION (CAR)",144827.00,157183.00,142804.00,147596.00,139002.00,145165.00,155332.00,175253.00,178902.00,195595.00,204542.00,158263.00,205696.00,224319.00,285183.00,276325.00,272135.00,322192.00,320393.00,361090.00,363248.00,372282.00,362841.00,335343.00,364657.00,385958.00,394671.00,389732.00,345847.00,334494.00,389558.00,349284.98,363372.36,316444.55,317178.26,288562.16,286420.08,252176.55,..
"Irrigated Palay","....Abra",16157.00,16264.00,17423.00,16050.00,16026.00,14057.00,15521.00,14630.00,21636.00,26989.00,27186.00,24388.00,33706.00,35408.00,35791.00,35131.00,37458.00,38707.00,40586.00,42635.00,47105.00,48585.00,50676.00,51656.00,53373.00,55219.00,54639.00,52363.00,47320.00,44332.00,48119.00,42945.00,57228.00,56343.50,60099.00,55337.00,53681.95,48837.60,..
"Irrigated Palay","....Apayao",0.00,0.00,0.00,0.00,0.00,0.00,0.00,27390.00,26529.00,27143.00,28728.00,21335.00,26140.00,33780.00,47447.00,47339.00,50037.00,71036.00,70861.00,78466.00,69688.00,69045.00,69747.00,67715.00,71224.00,76320.00,77589.00,72925.00,71204.00,68741.00,81192.00,62937.86,69004.40,75738.54,64076.28,57858.11,61745.47,52014.42,..
"Irrigated Palay","....Benguet",5221.00,5689.00,6543.00,5955.00,5206.00,7555.00,9196.00,8571.00,7148.00,7885.00,8314.00,7155.00,8653.00,9620.00,10695.00,12598.00,10929.00,12539.00,13280.00,14355.00,14711.00,15112.00,14370.00,13843.00,14038.00,14560.00,15295.00,15201.00,15905.00,15588.00,17816.00,17589.68,18077.93,18978.29,20861.00,20745.77,19123.15,16249.60,..
"Irrigated Palay","....Ifugao",26629.00,26992.00,27163.00,24032.00,19120.00,27629.00,34050.00,31511.00,35139.00,39307.00,40707.00,30255.00,43885.00,47795.00,44896.00,42936.00,43891.00,46764.00,48874.00,53249.00,58593.00,61678.00,62184.00,58482.00,60202.00,60660.00,61566.00,61263.00,61551.00,59102.00,60591.00,58383.60,52000.47,47441.09,39979.02,30448.06,31763.58,26634.55,..
"Irrigated Palay","....Kalinga",83100.00,93071.00,78003.00,88374.00,82459.00,80793.00,83799.00,80641.00,75054.00,80248.00,85022.00,61595.00,79218.00,82335.00,130479.00,122033.00,113620.00,134664.00,128181.00,152613.00,153889.00,161424.00,149750.00,129611.00,151020.00,163961.00,168616.00,171213.00,136463.00,133565.00,167849.00,153133.00,153099.81,104224.37,118287.64,110426.26,109292.01,97681.84,..
"Irrigated Palay","....Mountain Province",13720.00,15167.00,13672.00,13185.00,16191.00,15131.00,12766.00,12510.00,13396.00,14023.00,14585.00,13535.00,14094.00,15381.00,15875.00,16288.00,16200.00,18482.00,18611.00,19772.00,19262.00,16438.00,16114.00,14036.00,14800.00,15238.00,16966.00,16767.00,13404.00,13166.00,13991.00,14295.84,13961.75,13718.76,13875.32,13746.96,10813.92,10758.55,..
"Irrigated Palay","..REGION I (ILOCOS REGION)",461185.00,479089.00,439100.00,477013.00,518192.00,455018.00,479796.00,535263.00,538317.00,659187.00,734040.00,597810.00,803846.00,852863.00,868878.00,854598.00,908912.00,934314.00,982868.00,1045763.00,1078029.00,1113627.00,929064.00,1108293.00,1144248.00,1245655.00,1270037.00,1305464.00,1290575.00,1305193.00,1360204.00,1255233.52,1349712.00,1385111.85,1379740.60,1405074.84,1421348.16,1403373.07,..
"Irrigated Palay","....Ilocos Norte",57806.00,80444.00,67180.00,70785.00,87755.00,74159.00,73092.00,90687.00,102214.00,135023.00,153001.00,148071.00,175980.00,190884.00,183966.00,192341.00,202106.00,201165.00,219421.00,233150.00,234185.00,249192.00,216688.00,251805.00,257121.00,264071.00,268106.00,260937.00,266451.00,261892.00,279471.00,236377.00,279869.00,289865.85,286064.60,286685.50,289895.00,292835.50,..
"Irrigated Palay","....Ilocos Sur",36084.00,38033.00,34215.00,38679.00,33468.00,30286.00,43003.00,53636.00,50131.00,52508.00,54182.00,50820.00,58859.00,72295.00,76709.00,69376.00,83883.00,87567.00,96278.00,106002.00,108872.00,109081.00,89161.00,102006.00,106939.00,120119.00,125518.00,124588.00,127320.00,126051.00,143162.00,129919.00,159945.00,165566.00,161461.00,161888.83,162747.00,157265.00,..
"Irrigated Palay","....La Union",41986.00,47105.00,51606.00,56338.00,47843.00,36734.00,50784.00,56091.00,45531.00,50153.00,61242.00,60442.00,64481.00,70043.00,74184.00,70779.00,65591.00,72178.00,74227.00,90144.00,97483.00,100530.00,82291.00,79418.00,91155.00,99290.00,98287.00,104818.00,111336.00,115169.00,120940.00,103444.52,107645.00,114818.00,102738.00,110699.51,112205.13,111784.57,..
"Irrigated Palay","....Pangasinan",325309.00,313507.00,286099.00,311211.00,349126.00,313839.00,312917.00,334849.00,340441.00,421503.00,465615.00,338477.00,504526.00,519641.00,534019.00,522102.00,557332.00,573404.00,592942.00,616467.00,637489.00,654824.00,540924.00,675064.00,689033.00,762175.00,778126.00,815121.00,785468.00,802081.00,816631.00,785493.00,802253.00,814862.00,829477.00,845801.00,856501.03,841488.00,..
"Irrigated Palay","..REGION II (CAGAYAN VALLEY)",889475.00,987651.00,984923.00,1076957.00,956662.00,1029828.00,851742.00,1098021.00,1254166.00,1306984.00,1432658.00,1081638.00,1553996.00,1618204.00,1637875.00,1565283.00,1547983.00,1722223.00,1754957.00,1768665.00,1826454.00,1872024.00,1842549.00,1633085.00,1924301.00,2177339.60,2225221.43,2310297.15,2303173.34,2181739.10,2429032.00,2159707.00,2462158.68,2449638.00,2680658.53,2689800.82,2751885.27,2654588.87,..
