"Year","Region","Farmgate","Wholesale","Retail"
1998,"Philippines",8.08,15.78,17.1
1999,"Philippines",7.69,15.75,17.26
2000,"Philippines",7.5,15.91,17.59
2001,"Philippines",7.9,15.99,17.54
2002,"Philippines",8.33,16.53,18
2003,"Philippines",8.56,16.51,17.95
2004,"Philippines",9.17,17.3,18.71
2005,"Philippines",10.07,19.14,20.73
2006,"Philippines",10.07,19.49,21.28
2007,"Philippines",11.22,20.66,22.39
2008,"Philippines",14.13,27.12,29.38
2009,"Philippines",14.67,28.26,30.69
2010,"Philippines",14.87,28.46,30.84
2011,"Philippines",15.16,29.15,31.31
2012,"Philippines",16.22,30.04,32.08
2013,"Philippines",16.93,31.56,33.7
2014,"Philippines",20.07,36.78,38.93
2015,"Philippines",17.33,34.46,37.06
2016,"Philippines",17.43,33.69,36.67
2017,"Philippines",14.74,35.13,37.62
2018,"Philippines",20.43,45.26,40.86
2019,"Philippines",16.47,34.43,37.89
2020,"Philippines",16.72,33.94,36.93
2021,"Philippines",16.75,33.62,37.6
2022,"Philippines",17.44,35.02,39.14
2023,"Philippines",19.88,39.38,42.8
1998,"Ilocos Region",8.25,15.41,16.35
1999,"Ilocos Region",8.09,15.48,17.24
2000,"Ilocos Region",8.56,15.78,17.85
2001,"Ilocos Region",8.28,15.76,17.88
2002,"Ilocos Region",8.5,15.91,18.08
2003,"Ilocos Region",8.76,15.92,18.08
2004,"Ilocos Region",9.21,16.37,18.06
2005,"Ilocos Region",10.34,19.11,20.83
2006,"Ilocos Region",10.34,19.74,21.06
2007,"Ilocos Region",11.65,19.67,21.49
2008,"Ilocos Region",15.15,27.53,28.9
2009,"Ilocos Region",15.63,27.68,28.95
2010,"Ilocos Region",15.42,28.15,29.66
2011,"Ilocos Region",16.56,29.28,30.63
2012,"Ilocos Region",17.27,29.88,31.56
2013,"Ilocos Region",18.23,30.98,32.72
2014,"Ilocos Region",21.95,34.95,37.7
2015,"Ilocos Region",17.87,34.84,36.44
