"Geolocation","Commodity","year","month","price","date"
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"January",14.82,2010-01-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"February",15.34,2010-02-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"March",15.58,2010-03-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"April",14.92,2010-04-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"May",14.99,2010-05-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"June",15.13,2010-06-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"July",15.2,2010-07-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"August",15.26,2010-08-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"September",14.52,2010-09-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"October",13.85,2010-10-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"November",13.89,2010-11-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"December",14.19,2010-12-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"Annual",14.81,NA
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"January",14.77,2011-01-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"February",14.99,2011-02-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"March",14.84,2011-03-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"April",15.15,2011-04-01
