date,code,usdprice
#date,#meta+code,#value+usd
2000-01-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.4
2000-02-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.41
2000-03-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.42
2000-04-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.41
2000-05-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.42
2000-06-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.41
2000-07-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.4
2000-08-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.39
2000-09-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.38
2000-10-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.35
2000-11-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.32
2000-12-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.32
2001-01-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.31
2001-02-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.33
2001-03-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.33
2001-04-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.33
2001-05-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.33
2001-06-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.32
2001-07-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.32
2001-08-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.33
2001-09-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.33
2001-10-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.31
2001-11-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.3
2001-12-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.3
2002-01-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.31
2002-02-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.31
2002-03-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.32
2002-04-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.31
2002-05-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.33
2002-06-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.35
2002-07-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.38
2002-08-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.41
2002-09-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.37
2002-10-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.33
2002-11-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.3
2002-12-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.32
2003-01-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.3
2003-02-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.3
2003-03-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.29
2003-04-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.33
2003-05-15,"Region XI-Davao del Sur-Davao City-Rice (regular, milled)-KG-Retail-PHP",0.35
